53399	114.7	41.15	1393.3
53593	114.57	39.83	909.5
53698	114.42	38.03	81
53798	114.5	37.07	77.3
53889	113.82	36.07	308.6
53898	114.37	36.12	76.4
53972	112.92	35.12	120.4
53974	114.18	35.62	72.8
53978	112.63	35.08	140.7
53979	113.05	35.18	130.3
53982	113.27	35.23	113.5
53983	114.42	35.03	71.3
53984	113.42	35.23	86.3
53985	113.82	35.45	97.5
53986	113.88	35.32	74
53987	113.4	35.1	96.1
53988	113.67	35.27	78.4
53989	113.95	35.05	77.7
53991	114.35	35.93	75.3
53992	114.55	35.68	62.6
53993	114.92	35.93	52.4
53994	114.07	35.38	71.2
53995	114.5	35.58	66
53997	114.18	35.15	72.3
53998	114.65	35.2	62.7
54308	116.63	41.22	661.2
54311	117.75	41.93	842.8
54401	114.88	40.78	724.2
54405	115.5	40.4	536.8
54423	117.95	40.98	385.9
54429	117.95	40.2	54.9
54436	118.95	40.4	227.5
54449	119.52	39.85	2.4
54518	116.38	39.07	9
54534	118.15	39.67	27.8
54539	118.88	39.43	10.5
54602	115.52	38.85	17.2
54606	115.73	38.23	19
54624	117.35	38.37	6.6
54705	115.38	37.37	27.4
54725	117.53	37.48	11.7
54736	118.67	37.43	6
54751	120.72	37.93	39.7
54753	120.32	37.62	4.8
54774	122.13	37.47	65.4
54776	122.68	37.4	47.7
54808	115.67	36.23	37.8
54817	115.87	35.98	43
54823	117.05	36.6	170.3
54836	118.15	36.18	305.1
54843	119.18	36.75	22.2
54852	120.73	36.97	54.4
54857	120.33	36.07	76
54863	121.18	36.77	40.9
54871	122.43	36.92	4.8
54900	115.02	35.7	53.1
54901	115.18	36.07	49.6
54902	115.12	35.9	50.1
54903	115.48	35.92	49.3
54916	116.85	35.57	51.7
54936	118.83	35.58	107.4
54945	119.53	35.43	36.9
57051	111.2	34.8	411.8
57056	110.85	34.53	474.8
57063	111.77	34.77	521.3
57065	112.18	34.5	196.4
57066	111.67	34.38	329.7
57067	111.03	34.05	569.9
57070	112.15	34.72	257.3
57071	112.43	34.83	324.6
57072	112.78	34.92	117.6
57074	112.42	34.42	198.2
57075	112.83	34.18	214.2
57076	112.82	34.72	116.5
57077	111.6	33.78	751.7
57078	112.47	34.15	344.8
57079	113.1	34.95	108.5
57080	112.97	34.73	166
57081	113.43	34.8	140.5
57082	113.03	34.45	372
57083	113.65	34.72	111.3
57085	113.37	34.52	289.3
57086	113.73	34.4	114.5
57087	113.8	34.2	88.5
57088	113.5	34.15	117.2
57089	113.85	34.02	67.7
57090	114.02	34.72	79.6
57091	114.38	34.77	73.7
57093	114.82	34.85	72.2
57094	114.2	34.4	67.5
57095	114.2	34.08	60.4
57096	114.78	34.53	60.7
57098	114.4	34.08	59.3
57099	114.85	34.07	53.6
57156	111.5	33.3	252
57162	112.08	34.15	327.5
57169	111.87	33.05	160
57173	112.88	33.75	147.5
57175	112.23	33.05	194.1
57176	112.43	33.48	199.7
57177	113.53	33.33	90.7
57178	112.58	33.03	130.7
57179	113	33.28	161.5
57180	113.2	33.98	118.6
57181	113.05	33.88	137.5
57182	113.5	33.85	81.4
57183	113.92	33.8	60.8
57184	113.37	33.63	88.2
57185	113.58	33.45	92.3
57186	114	33.58	62.1
57187	112.93	33.07	123.5
57188	114	33.38	60.6
57189	114	33.15	64.4
57191	114.48	34.48	64.2
57192	114.85	33.73	46.3
57193	114.52	33.78	53.9
57194	114.27	33.28	60.8
57195	114.62	33.62	47.6
57196	114.88	33.45	44.4
57197	114.33	33	50.3
57198	114.62	33.55	47.3
57261	111.5	33.13	196.2
57271	112.38	32.55	89.5
57273	112.85	32.68	109.9
57274	112.08	32.7	112.7
57281	113.3	32.7	142.5
57285	113.42	32.38	149.1
57290	114.02	33	83.3
57292	114.63	32.97	44.6
57293	114.98	32.73	39.1
57294	114.03	32.8	85.5
57295	114.35	32.62	79.7
57296	114.73	32.35	50.1
57297	114.05	32.13	115.1
57298	114.55	32.22	56.2
57299	114.9	32.02	50.6
57390	114.07	31.8	1000
57396	114.85	31.63	130.8
58001	115.1	34.43	57.1
58004	115.15	34.65	61.4
58005	115.67	34.45	51
58006	115.88	34.38	47.2
58007	115.3	34.07	48.2
58008	115.33	34.47	55.4
58015	116.33	34.43	44.2
58017	116.13	34.25	41.2
58027	117.15	34.28	41.2
58040	119.12	34.83	3.3
58100	115.18	33.63	42.4
58101	115.48	33.88	41.2
58102	115.77	33.87	37.7
58104	115.07	33.4	42
58111	116.38	33.93	32.7
58122	116.98	33.63	25.9
58138	118.52	32.98	40.8
58150	120.25	33.77	2
58203	115.73	32.87	32.7
58205	115.42	32.45	34.8
58207	115.03	32.15	42.9
58208	115.67	32.17	58.2
58215	116.78	32.55	22.7
58221	117.38	32.95	18.7
58236	118.3	32.3	27.5
58238	118.8	32	7.1
58241	119.45	32.8	5.4
58251	120.32	32.87	4.3
58259	120.88	31.98	6.1
58265	121.6	32.07	5.5
58301	115.38	31.8	79.1
58311	116.5	31.75	60.5
58314	116.32	31.4	68.1
58321	117.3	31.78	27
58326	117.87	31.62	22.4
58343	119.98	31.88	4.4
58345	119.48	31.43	7.7
58358	120.43	31.07	17.5
58424	117.05	30.53	19.8
58436	118.98	30.62	89.4
58531	118.28	29.72	142.7
